Year,ClubLongName,ClubShortName,Points
2019,Rowing Club Lausanne,RC Lausanne,1
2019,Société Nautique Étoile Bienne,SN Étoile Bienne,1
2020,Seeclub Zürich,SC Zürich,58
2020,Rowing Club Bern,RC Bern,56
2020,Grasshopper Ruderclub Zürich,Grasshopper RC Zürich,46
2020,Ruderclub Baden,RC Baden,33
2020,Ruderclub Blauweiss Basel,RC Blauweiss Basel,30
2020,Basler Ruder-Club,Basler RC,26
2020,Belvoir Ruderclub Zürich,Belvoir RC Zürich,25
2020,Club Aviron Vevey,CA Vevey,19
2020,See-Club Zug,SC Zug,19
2020,Ruderclub Zürich,RC Zürich,17
2020,Seeclub Luzern,SC Luzern,15
2020,Ruderclub Schaffhausen,RC Schaffhausen,12
2020,Forward Rowing Club Morges,Forward RC Morges,11
2020,Club Aviron Vésenaz,CA Vésenaz,10
2020,Seeclub Biel,SC Biel,10
2020,Seeclub Küsnacht,SC Küsnacht,10
2020,Polytechniker Ruderclub Zürich,Polytechniker RC Zürich,8
2020,Ruderclub Thalwil,RC Thalwil,6
2020,Solothurner Ruderclub,Solothurner RC,6
2020,Lausanne-Sports Section Aviron,Lausanne-Sports SA,5
2020,Ruderclub Erlenbach,RC Erlenbach,5
2020,Ruderclub Hallwilersee,RC Hallwilersee,5
2020,Aviron Romand Zürich,Aviron Romand Zürich,4
2020,Club Aviron Vallée de Joux,CA Vallée de Joux,4
2020,Ruderclub Rapperswil-Jona,RC Rapperswil-Jona,4
2020,Ruderclub Sarnen,RC Sarnen,4
2020,Seeclub Sempach,SC Sempach,4
2020,Ruderclub Aarburg,RC Aarburg,3
2020,Ruderclub Cham,RC Cham,2
2020,Ruderclub Kaufleuten Zürich,RC Kaufleuten Zürich,2
2020,Seeclub Sursee,SC Sursee,2
2020,Club Canottieri Lugano,CC Lugano,1
2020,Seeclub Arbon,SC Arbon,1
2021,Club Aviron Vevey,CA Vevey,26
2021,See-Club Zug,SC Zug,24
2021,Rowing Club Lausanne,RC Lausanne,18
2021,Basler Ruder-Club,Basler RC,17
2021,Rowing Club Bern,RC Bern,14
2021,Belvoir Ruderclub Zürich,Belvoir RC Zürich,10
2021,Forward Rowing Club Morges,Forward RC Morges,9
2021,Club Canottieri Lugano,CC Lugano,7
2021,Lausanne-Sports Section Aviron,Lausanne-Sports SA,7
2021,Polytechniker Ruderclub Zürich,Polytechniker RC Zürich,6
2021,Ruderclub Erlenbach,RC Erlenbach,6
2021,Ruderclub Zürich,RC Zürich,5
2021,Seeclub Zürich,SC Zürich,5
2021,Société Nautique de Genève Section Aviron,SN Genève SA,4
2021,Ruderclub Blauweiss Basel,RC Blauweiss Basel,1
2022,Basler Ruder-Club,Basler RC,180
2022,Belvoir Ruderclub Zürich,Belvoir RC Zürich,151
2022,Rowing Club Bern,RC Bern,122
2022,Seeclub Zürich,SC Zürich,114
2022,Grasshopper Ruderclub Zürich,Grasshopper RC Zürich,106
2022,Ruderclub Thalwil,RC Thalwil,67
2022,Ruderclub Zürich,RC Zürich,66
2022,Ruderclub Erlenbach,RC Erlenbach,30
2022,Polytechniker Ruderclub Zürich,Polytechniker RC Zürich,24
2022,Club Canottieri Lugano,CC Lugano,22
2022,Forward Rowing Club Morges,Forward RC Morges,21
2022,Solothurner Ruderclub,Solothurner RC,21
2022,Club Aviron Vevey,CA Vevey,20
2022,See-Club Zug,SC Zug,17
2022,Ruderclub Schaffhausen,RC Schaffhausen,14
2022,Seeclub Luzern,SC Luzern,14
2022,Ruderclub Baden,RC Baden,13
2022,Ruderclub Uster,RC Uster,13
2022,Ruderclub Aarburg,RC Aarburg,11
2022,Ruderclub Blauweiss Basel,RC Blauweiss Basel,9
2022,Lausanne-Sports Section Aviron,Lausanne-Sports SA,7
2022,Seeclub Küsnacht,SC Küsnacht,7
2022,Aviron Romand Zürich,Aviron Romand Zürich,6
2022,Società Canottieri Locarno,SC Locarno,5
2022,Seeclub Sursee,SC Sursee,5
2022,Ruderclub Kaufleuten Zürich,RC Kaufleuten Zürich,4
2022,Association Romande d'Aviron,ARA,2
2022,Club Aviron Ville Fribourg,CA Ville Fribourg,2
2022,Ruderclub Hallwilersee,RC Hallwilersee,2
