2024	SN Neuchâtel	1
2024	CA Ville Fribourg	1
2025	Basler Ruder-Club	196
2025	Belvoir RC Zürich	162
2025	Grasshopper Club Zürich	150
2025	Seeclub Zürich	93
2025	Ruderclub Erlenbach	73
2025	Rowing Club Bern	65
2025	Ruder-Club Zürich	55
2025	RC Blauweiss Basel	42
2025	CA Vevey	40
2025	Lausanne Sports Aviron	39
2025	Polytechniker RC Zürich	37
2025	Seeclub Luzern	30
2025	Rowing Club Lausanne	27
2025	Ruderclub Baden	26
2025	RC Schaffhausen	20
2025	Solothurner RC	16
2025	CC Lugano	16
2025	Seeclub Küsnacht	15
2025	Nordiska Zürich	14
2025	Seeclub Zug	12
2025	ROZ	11
2025	Forward RC Morges	5
2025	RC Aarburg	5
2025	Aviron Romand Zürich	3
2025	Union Nautique Yverdon	2
2025	SN Neuchâtel	1
2025	Seeclub Wädenswil	1
2025	Société Nautique Etoile Bienne	1
2025	RC Thalwil	1
2026	Belvoir RC Zürich	186
2026	Seeclub Zürich	157
2026	RC Erlenbach	145
2026	Basler RC	135
2026	Ruderclub Zürich	89
2026	Grasshopper Club Zürich	58
2026	Rowing Club Bern	47
2026	Polytechniker RC Zürich	44
2026	Seeclub Luzern	44
2026	RC Blauweiss Basel	34
2026	Ruderclub Baden	31
2026	Lausanne Sports Aviron	27
2026	Club Aviron Vevey	25
2026	Ruderclub Thalwil	23
2026	Solothurner RC	20
2026	Seeclub Küsnacht	17
2026	Rowing Club Lausanne	17
2026	Club Aviron Vésenaz	15
2026	Nordiska Zürich	11
2026	Seeclub Biel	9
2026	RC Aarburg	7
2026	RC Schaffhausen	6
2026	Société Nautique Etoile Bienne	6
2026	Seeclub Wädenswil	5
2026	Seeclub Stansstad	4
2026	RC Rapperswil-Jona	4
2026	RC Hallwilersee	3
2026	RC Kaufleuten Zürich	3
2026	Rudergesellschaft Zürich	2
2026	Seeclub Sursee	1
2026	Seeclub Zug	1
2026	Ruderclub Cham	1
